XPos,YPos,addr,clCd,clCdNm,emdongNm,estbDd,postNo,sgguCd,sgguCdNm,sidoCd,sidoCdNm,telno,yadmNm,ykiho
127.0374885,37.6546317,서울특별시 도봉구 도봉로 551-10 (쌍문동),81,약국,쌍문동,20000804,01436,110006,도봉구,110000,서울,02-994-4086,우리약국,JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxNzAyIzIxIyQxIyQxIyQxMyQzNjE4MzIjNzEjJDEjJDgjJDgz
127.0343750,37.6486469,서울특별시 도봉구 도봉로 479 (쌍문동),81,약국,쌍문동,20010221,01443,110006,도봉구,110000,서울,02-902-0682,태양약국,JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzUxIyQxIyQxIyQ4MiQyNjE0ODEjNDEjJDEjJDgjJDgz
127.0290698,37.6446761,서울특별시 도봉구 우이천로 302 (쌍문동),81,약국,쌍문동,20000628,01452,110006,도봉구,110000,서울,02-998-6342,정문약국,JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxMzUxIzUxIyQxIyQxIyQxMyQyNjE0ODEjNTEjJDEjJDYjJDgz
127.0156337,37.6556386,서울특별시 도봉구 삼양로154길 42 (쌍문동),81,약국,쌍문동,20020522,01367,110006,도봉구,110000,서울,02-996-7360,새보은약국,JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxOTYxIzMxIyQxIyQ3IyQwMyQ0NjE0ODEjNjEjJDEjJDAjJDgz
127.0132980,37.6547761,"서울특별시 도봉구 삼양로 580-4 1층 101호 (쌍문동, 노스브릭)",81,약국,,20190930,01366,110006,도봉구,110000,서울,02-996-9114,힘찬약국,JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxNzAyIzIxIyQxIyQxIyQ3MiQzNjEwMDIjNTEjJDEjJDYjJDgz
127.0318986,37.6483714,서울특별시 도봉구 도봉로113길 41 (쌍문동),81,약국,쌍문동,19860701,01447,110006,도봉구,110000,서울,02-906-6363,송이약국,JDQ4MTg4MSM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQ1IyQ2MiQyNjEwMDIjNTEjJDEjJDYjJDgz
127.0341089,37.6481256,서울특별시 도봉구 도봉로 473-1 (쌍문동),81,약국,쌍문동,19861015,01443,110006,도봉구,110000,서울,02-908-5945,쌍문약국,JDQ4MTg4MSM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQ1IyQ3MiQyNjE0ODEjNTEjJDEjJDIjJDgz
127.0332905,37.6482760,서울특별시 도봉구 도봉로113길 16 (쌍문동),81,약국,쌍문동,19760108,01443,110006,도봉구,110000,서울,02-994-4212,신신약국,JDQ4MTg4MSM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQ1IyQ3MiQyNjE4MzIjNzEjJDEjJDgjJDgz
127.0333818,37.6470525,서울특별시 도봉구 도봉로 461 우림빌딩 1층 (쌍문동),81,약국,쌍문동,20150925,01447,110006,도봉구,110000,서울,070-8886-8802,아이약국,JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxOTYxIzIxIyQyIyQ5IyQwMCQ0NjE0ODEjNzEjJDEjJDgjJDgz
127.0325391,37.6581634,"서울특별시 도봉구 해등로 218 102호 (쌍문동, 보성상가)",81,약국,쌍문동,20110104,01387,110006,도봉구,110000,서울,02-990-3367,파마트열린약국,JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNTgxMzUxIzUxIyQxIyQxIyQ5OSQzNjE4MzIjNDEjJDEjJDQjJDgz
